convention_name,pdf_url
DTEB CNTL.004010 CONTROL SEGMENTS VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dtebControl_Segments004010_Version_0.pdf
DTEB 214.A.004010 MOTOR CARRIER SHIPMENT STATUS VERSION 13,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb214a004010_Version_13.pdf
DTEB 214.F.004010 CARRIER SHIPMENT STATUS – FEDERAL AND DOD VERSION 1,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb214f004010_Version_1.pdf
DTEB 219.A.004010 DTCI TRANSPORTATION SERVICE REQUEST VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb219a004010_Version_3.pdf
DTEB 219.B.004010 VENDOR SHIPPING INFORMATION REQUEST VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb219b004010_Version_0.pdf
DTEB 219.D.004010 3RD PARTY LOGISTICS TRANSPORTATION SERVICE REQUEST VERSION 14,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb219d004010_Version_14.pdf
DTEB 220.A.004010 DTCI TRANSPORTATION SERVICE RESPONSE VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb220a004010_Version_0.pdf
DTEB 220.B.004010 VENDOR SHIPPING INFORMATION RESPONSE VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb220b004010_Version_0.pdf
DTEB 220.D.004010 3RD PARTY LOGISTICS TRANSPORTATION SERVICE RESPONSE VERSION 13,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb220d004010_Version_13.pdf
DTEB 300.A.007020 RESERVATION (BOOKING) (OCEAN) VERSION 7,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb300A007020_Version_7.pdf
DTEB 300.A.004010 RESERVATION (BOOKING) (OCEAN) VERSION 18,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb300a004010_Version_18.pdf
DTEB 301.A.004010 CONFIRMATION (OCEAN) VERSION 6,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb301a004010_Version_6.pdf
DTEB 303.A.004010 BOOKING CANCELLATION (OCEAN) VERSION 1,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb303a004010_Version_1.pdf
DTEB 304.A.004010 OCEAN CARRIER SHIPPING INSTRUCTIONS VERSION 2,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb304a004010_Version_2.pdf
DTEB 304.B.004010 VERIFIED SHIPPING INSTRUCTIONS (VSI) NOTIFICATION VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb304b004010_Version_3.pdf
DTEB 310.A.004010 FREIGHT RECEIPT AND INVOICE (OCEAN) VERSION 1,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb310a004010_Version_1.pdf
DTEB 315.A.004010 STATUS DETAILS (OCEAN) VERSION 19,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb315a004010_Version_19.pdf
DTEB 315.B.004010 (AIR CLEARANCE STATUS) VERSION 4,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb315b004010_Version_4.pdf
DTEB 315.N.004010 TRANSPORTATION NODE STATUS REPORT VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb315n004010_Version_3.pdf
DTEB 322.A.004010 RAIL STATUS VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt322a41.pdf
DTEB 404.A.005030 RAIL CARRIER SHIPMENT INFORMATION VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb404a005030_Version_3.pdf
DTEB 602.A.004010 VOLUNTARY TENDER OF FREIGHT SERVICES VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt602a41.pdf
DTEB 602.D.004010 VOLUNTARY AIR TENDER VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb602d004010_Version_0.pdf
DTEB 824.B.004010 TTC TENDER COMPLIANCE NOTICE VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt824b41.pdf
DTEB 824.C.004010 APPLICATION COMPLIANCE ACKNOWLEDGEMENT VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt824c41.pdf
DTEB 824.D.004010 APPLICATION ADVICE (CONFIRMATION RESPONSE) (OCEAN) VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt824d41.pdf
DTEB 856.A.004010 RECEIPT/SHIPMENT-CONSOLIDATON/DUE-IN/RESHIP VERSION 8,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb856a004010_Version_8.pdf
DTEB 856.F.004010 ADVANCE SHIP NOTICE - FEDERAL AND DOD,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb856f004010_Version_0.pdf
DTEB 858.B.004010 TRANSPORTATION CONTROL AND MOVEMENT DOCUMENT (TCMD) VERSION 12,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858b004010_Version_12.pdf
DTEB 858.C.004010 PERSONAL PROPERTY SHIPMENT INFORMATION VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858c004010_Version_3.pdf
DTEB 858.D.004010 SHIPMENT INFORMATION VERSION 9,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858d004010_Version_9.pdf
DTEB 858.DA.004010 COMMERCIAL AIR TRANSPORTATION NOTIFICATION VERSION 1,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858da004010_Version_1.pdf
DTEB 858.E.004010 DOD VENDOR SHIPMENT INFORMATION VERSION 3,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858e004010_Version_3.pdf
DTEB 858.R.004010 FREIGHT BILL OF LADING INFORMATION VERSION 25,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dteb858r004010_Version_25.pdf
DTEB 864.B.004010 TTC SOLICITATION COVER/AWARD LETTERS VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt864b41.pdf
DTEB 998.A.004010 RAIL BILL OF LADING CANCELLATION VERSION 0,https://www.ustranscom.mil/cmd/associated/dteb/files/transportationics/dt998a41.pdf
